,year,doy,month,rainy_day,total_rain,tavg,tmin_avg,tmax_avg,tavg_10_30_between_sum,humid_avg,wind_avg,sunhours_sum,radn_sum,rain_more_10,rain_more_30,rain_more_50,rain_more_70,rain_more_90,rain_more_110,tavg_less_5_count,tavg_less_5_sum,tavg_less_10_count,tavg_less_10_sum,tavg_more_15_count,tavg_more_15_sum,tavg_more_20_count,tavg_more_20_sum,tavg_more_25_count,tavg_more_25_sum,tavg_more_30_count,tavg_more_30_sum,tavg_more_35_count,tavg_more_35_sum,tavg_more_40_count,tavg_more_40_sum
0,1988,1,1,5,7.3999999999999995,-2.958064516129032,-8.829032258064515,4.470967741935483,0.0,57.66774193548387,0.9580645161290324,248.0,295.027,0,0,0,0,0,0,31,-91.7,31,-91.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1988,32,2,6,3.9000000000000004,-3.355172413793103,-9.534482758620685,4.448275862068965,0.0,55.38275862068965,0.8965517241379312,161.20000000000002,202.77599999999998,0,0,0,0,0,0,29,-97.29999999999998,29,-97.29999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1988,61,3,5,38.3,1.9516129032258065,-4.093548387096774,9.525806451612903,0.0,55.122580645161285,0.9999999999999999,183.3,225.96000000000004,1,0,0,0,0,0,24,18.799999999999997,31,60.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,1988,92,4,5,61.6,9.83,1.903333333333333,18.573333333333334,161.4,50.54333333333332,0.9366666666666664,223.19999999999996,249.84699999999995,2,0,0,0,0,0,1,4.6,18,133.5,4,64.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,1988,122,5,4,32.0,15.793548387096774,7.748387096774193,24.18709677419354,480.5,52.51290322580645,0.8516129032258066,206.7,242.113,1,0,0,0,0,0,0,0.0,1,9.1,17,307.3,2,43.2,0,0.0,0,0.0,0,0.0,0,0.0
5,1988,153,6,11,120.30000000000001,20.48,14.533333333333333,27.430000000000003,614.4,62.17666666666666,0.5933333333333333,166.3,210.798,4,1,0,0,0,0,0,0.0,0,0.0,30,614.4,23,489.4,0,0.0,0,0.0,0,0.0,0,0.0
6,1988,183,7,19,468.09999999999997,22.25483870967742,18.529032258064515,26.89032258064516,689.9,71.99354838709678,0.7387096774193549,84.19999999999999,159.783,12,4,2,2,1,1,0,0.0,0,0.0,31,689.9,28,632.0,0,0.0,0,0.0,0,0.0,0,0.0
7,1988,214,8,12,89.2,24.029032258064515,19.216129032258067,31.232258064516127,744.9,70.98064516129034,0.6516129032258063,164.50000000000003,212.41799999999998,4,0,0,0,0,0,0,0.0,0,0.0,31,744.9,29,706.1,14,365.9,0,0.0,0,0.0,0,0.0
8,1988,245,9,8,71.1,18.57,13.216666666666667,25.833333333333336,557.1,68.60333333333332,0.6366666666666666,145.89999999999998,197.09,3,1,0,0,0,0,0,0.0,0,0.0,26,501.59999999999997,9,190.7,0,0.0,0,0.0,0,0.0,0,0.0
9,1988,275,10,2,1.5,11.338709677419354,4.000000000000001,20.925806451612903,297.59999999999997,65.22258064516129,0.6774193548387094,200.20000000000002,237.43499999999997,0,0,0,0,0,0,2,5.4,8,53.9,5,77.30000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,1988,306,11,3,4.5,2.3266666666666667,-5.340000000000001,10.713333333333335,0.0,59.34333333333333,1.2966666666666666,223.20000000000002,248.79700000000003,0,0,0,0,0,0,23,21.700000000000003,30,69.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,1988,336,12,7,8.2,-2.8451612903225802,-9.32258064516129,4.9161290322580635,0.0,63.50322580645161,1.209677419354839,175.09999999999997,220.26600000000002,0,0,0,0,0,0,31,-88.19999999999999,31,-88.19999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,1989,1,1,13,69.7,-0.9419354838709676,-5.754838709677419,4.816129032258064,0.0,68.00645161290323,1.196774193548387,123.1,185.963,2,0,0,0,0,0,28,-48.4,31,-29.199999999999996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,1989,32,2,7,46.3,-0.09642857142857153,-5.617857142857142,6.639285714285713,0.0,65.45714285714286,1.0892857142857146,157.4,196.085,2,0,0,0,0,0,27,-8.200000000000003,28,-2.700000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,1989,60,3,12,120.60000000000001,3.0870967741935487,-2.593548387096775,9.925806451612903,10.2,72.9967741935484,1.2612903225806453,166.90000000000003,215.68,2,1,1,0,0,0,24,52.400000000000006,30,85.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,1989,91,4,5,16.5,10.766666666666667,1.8333333333333333,20.336666666666666,233.20000000000002,61.66333333333333,1.3466666666666667,264.6,276.597,1,0,0,0,0,0,0,0.0,13,109.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,1989,121,5,7,55.5,15.832258064516129,7.764516129032256,23.922580645161286,481.3,63.35483870967741,1.4225806451612903,238.0,263.05699999999996,1,0,0,0,0,0,0,0.0,1,9.5,20,340.3,1,20.2,0,0.0,0,0.0,0,0.0,0,0.0
17,1989,152,6,11,137.3,18.12333333333333,12.006666666666664,24.966666666666672,543.6999999999999,74.84666666666666,0.94,183.30000000000004,221.711,3,2,0,0,0,0,0,0.0,0,0.0,25,471.0,9,182.8,0,0.0,0,0.0,0,0.0,0,0.0
18,1989,182,7,16,342.5999999999999,22.00322580645161,17.987096774193546,27.51290322580645,682.0999999999999,81.23870967741935,0.938709677419355,131.29999999999998,190.00100000000003,7,3,2,1,1,1,0,0.0,0,0.0,31,682.0999999999999,21,491.6,4,103.6,0,0.0,0,0.0,0,0.0
19,1989,213,8,10,159.0,22.212903225806453,16.845161290322583,27.838709677419356,688.6,76.02258064516131,0.9451612903225808,174.69999999999996,220.28200000000004,5,2,1,0,0,0,0,0.0,0,0.0,31,688.6,28,629.8000000000001,2,50.7,0,0.0,0,0.0,0,0.0
20,1989,244,9,12,183.20000000000002,17.82333333333333,13.020000000000003,24.033333333333328,534.6999999999999,79.56333333333335,0.7466666666666666,133.8,188.518,4,3,1,0,0,0,0,0.0,0,0.0,27,494.5,4,80.9,0,0.0,0,0.0,0,0.0,0,0.0
21,1989,274,10,6,30.300000000000004,9.735483870967744,2.7483870967741937,18.896774193548378,197.3,76.0967741935484,0.6,186.6,229.169,1,0,0,0,0,0,2,8.8,15,114.49999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
22,1989,305,11,8,117.30000000000001,4.27,-1.1566666666666667,11.203333333333335,71.80000000000001,72.2,0.8833333333333334,152.9,202.991,3,2,0,0,0,0,19,21.500000000000004,24,56.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
23,1989,335,12,5,3.2,-0.3096774193548387,-6.44516129032258,6.85483870967742,0.0,70.54838709677419,0.8483870967741934,144.8,199.76200000000003,0,0,0,0,0,0,30,-15.300000000000002,31,-9.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
24,1990,1,1,9,36.1,-4.877419354838708,-11.11290322580645,1.5580645161290323,0.0,67.76774193548388,0.8451612903225808,164.3,213.11000000000004,1,0,0,0,0,0,31,-151.19999999999996,31,-151.19999999999996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,1990,32,2,12,97.8,1.5464285714285713,-2.7071428571428577,6.59642857142857,0.0,75.87857142857145,0.7785714285714286,93.80000000000001,153.94499999999996,4,0,0,0,0,0,25,24.7,28,43.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
26,1990,60,3,10,66.7,4.764516129032257,-1.4580645161290324,11.803225806451612,30.5,66.05806451612904,1.1258064516129034,187.40000000000003,228.09000000000003,2,0,0,0,0,0,19,56.2,29,127.20000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
27,1990,91,4,10,104.7,9.059999999999999,1.81,16.293333333333337,134.4,65.27,1.2033333333333334,187.70000000000002,225.50500000000002,3,1,1,0,0,0,2,8.399999999999999,19,147.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
28,1990,121,5,15,124.2,14.35483870967742,8.106451612903225,21.14516129032258,436.4,71.90967741935485,1.0290322580645161,167.5,215.457,3,1,0,0,0,0,0,0.0,1,8.6,13,217.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
29,1990,152,6,15,296.0,19.58,14.83,25.18333333333334,587.4,80.74666666666668,0.7933333333333333,121.2,178.51600000000005,7,5,2,0,0,0,0,0.0,0,0.0,30,587.4,15,316.29999999999995,0,0.0,0,0.0,0,0.0,0,0.0
30,1990,182,7,16,209.60000000000002,23.687096774193552,19.84516129032258,28.890322580645165,734.3000000000001,79.79677419354842,0.6387096774193549,95.29999999999998,167.495,4,3,2,0,0,0,0,0.0,0,0.0,31,734.3000000000001,28,679.0000000000001,10,260.4,0,0.0,0,0.0,0,0.0
31,1990,213,8,10,141.6,24.229032258064517,18.890322580645158,31.429032258064513,751.1,72.92903225806451,0.6129032258064516,205.29999999999998,240.67000000000002,3,2,1,0,0,0,0,0.0,0,0.0,31,751.1,31,751.1,13,337.3,0,0.0,0,0.0,0,0.0
32,1990,244,9,13,277.20000000000005,18.293333333333333,13.610000000000003,24.53333333333334,548.8,74.40000000000002,0.6166666666666667,144.8,197.70499999999998,7,3,2,1,0,0,0,0.0,0,0.0,27,508.3,10,217.6,0,0.0,0,0.0,0,0.0,0,0.0
33,1990,274,10,5,14.4,10.6,3.964516129032259,20.261290322580642,185.3,72.93225806451615,0.6096774193548387,217.8,249.40300000000002,0,0,0,0,0,0,0,0.0,17,143.3,4,62.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
34,1990,305,11,6,61.60000000000001,6.310000000000001,0.25333333333333324,14.190000000000003,43.8,70.57666666666667,0.8366666666666667,143.8,195.42700000000002,2,0,0,0,0,0,9,22.3,27,155.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35,1990,335,12,5,18.5,-2.5451612903225804,-8.441935483870969,5.248387096774194,0.0,65.92258064516128,1.367741935483871,175.5,221.23400000000004,0,0,0,0,0,0,31,-78.89999999999999,31,-78.89999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
36,1991,1,1,7,16.9,-4.8999999999999995,-11.312903225806451,2.370967741935484,0.0,65.18064516129031,0.9290322580645163,182.6,226.12000000000003,0,0,0,0,0,0,31,-151.89999999999998,31,-151.89999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
37,1991,32,2,12,43.400000000000006,-3.5285714285714294,-9.310714285714283,3.396428571428571,0.0,65.725,1.075,163.8,201.136,1,0,0,0,0,0,28,-98.80000000000003,28,-98.80000000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
38,1991,60,3,9,39.300000000000004,2.887096774193549,-2.2258064516129026,9.780645161290321,0.0,66.7290322580645,1.2129032258064514,166.9,214.495,1,0,0,0,0,0,24,44.6,31,89.50000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39,1991,91,4,7,106.5,9.71,0.8133333333333332,19.453333333333337,212.7,60.423333333333325,1.1566666666666667,250.29999999999998,267.253,2,2,0,0,0,0,3,6.4,12,78.6,1,15.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40,1991,121,5,9,89.2,14.35483870967742,6.387096774193546,22.241935483870968,400.5,69.7258064516129,1.2129032258064516,249.10000000000002,270.99800000000005,2,1,1,0,0,0,0,0.0,5,44.5,14,239.79999999999998,1,20.1,0,0.0,0,0.0,0,0.0,0,0.0
41,1991,152,6,7,83.1,20.610000000000003,14.303333333333335,27.42,618.3000000000001,78.94666666666669,1.06,237.49999999999997,258.6,2,1,0,0,0,0,0,0.0,0,0.0,30,618.3000000000001,21,450.40000000000003,0,0.0,0,0.0,0,0.0,0,0.0
42,1991,182,7,22,453.9,22.180645161290325,18.651612903225807,26.390322580645154,687.6000000000001,85.81612903225808,0.7709677419354839,73.9,152.16400000000002,11,6,4,2,0,0,0,0.0,0,0.0,31,687.6000000000001,27,608.8000000000002,0,0.0,0,0.0,0,0.0,0,0.0
43,1991,213,8,12,75.8,21.941935483870967,17.345161290322583,27.416129032258063,680.1999999999999,78.08064516129033,1.1774193548387097,180.29999999999998,225.51099999999997,4,0,0,0,0,0,0,0.0,0,0.0,31,680.1999999999999,27,605.8999999999999,0,0.0,0,0.0,0,0.0,0,0.0
44,1991,244,9,7,196.2,17.37,12.166666666666664,24.119999999999994,521.1,80.46000000000001,0.78,132.70000000000002,187.984,5,1,1,1,1,0,0,0.0,0,0.0,22,412.29999999999995,6,129.5,0,0.0,0,0.0,0,0.0,0,0.0
45,1991,274,10,2,6.2,9.809677419354841,2.561290322580646,18.883870967741935,193.4,71.07096774193549,0.9354838709677421,238.70000000000002,263.28800000000007,0,0,0,0,0,0,3,12.2,17,120.69999999999999,2,31.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
46,1991,305,11,5,8.3,2.5666666666666673,-4.626666666666666,12.083333333333334,0.0,71.81666666666666,0.8433333333333336,189.60000000000002,225.81699999999998,0,0,0,0,0,0,24,37.3,30,77.00000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
47,1991,335,12,9,37.0,-0.12258064516129023,-5.3096774193548395,6.880645161290323,0.0,74.84193548387098,0.8354838709677419,124.4,185.562,0,0,0,0,0,0,29,-16.400000000000006,31,-3.799999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
48,1992,1,1,10,14.099999999999998,-2.6419354838709674,-8.59032258064516,4.574193548387097,0.0,71.13225806451612,0.9258064516129033,168.6,216.43599999999998,0,0,0,0,0,0,31,-81.89999999999999,31,-81.89999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
49,1992,32,2,5,10.5,-2.379310344827587,-9.313793103448274,5.634482758620689,10.1,67.33793103448275,1.0758620689655172,194.3,225.48200000000003,0,0,0,0,0,0,27,-84.40000000000002,28,-79.10000000000002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
50,1992,61,3,7,27.7,3.9483870967741934,-1.8225806451612905,11.383870967741936,0.0,71.7258064516129,1.0935483870967744,165.2,214.60699999999997,0,0,0,0,0,0,20,45.9,31,122.39999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
51,1992,92,4,11,61.89999999999999,9.243333333333334,2.0199999999999996,17.293333333333333,144.79999999999998,66.34333333333333,1.28,174.49999999999997,217.53000000000003,2,0,0,0,0,0,2,8.0,18,132.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52,1992,122,5,8,99.9,13.341935483870968,5.9548387096774205,20.706451612903226,375.9,69.94516129032259,1.361290322580645,196.6,234.411,3,1,0,0,0,0,0,0.0,4,37.7,9,147.29999999999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
53,1992,153,6,8,20.5,17.933333333333334,11.316666666666666,25.78666666666667,538.0,72.21333333333335,1.24,159.2,205.97799999999998,0,0,0,0,0,0,0,0.0,0,0.0,27,497.1,6,123.8,0,0.0,0,0.0,0,0.0,0,0.0
54,1992,183,7,11,293.0,22.8,17.654838709677417,28.89677419354838,706.8000000000001,79.33225806451615,1.1032258064516127,151.5,205.325,8,3,2,0,0,0,0,0.0,0,0.0,31,706.8000000000001,29,667.6999999999999,7,182.70000000000002,0,0.0,0,0.0,0,0.0
55,1992,214,8,15,117.5,22.099999999999998,18.138709677419357,27.235483870967744,685.0999999999999,78.53870967741935,1.2387096774193547,128.6,189.553,3,1,1,0,0,0,0,0.0,0,0.0,31,685.0999999999999,28,627.1,0,0.0,0,0.0,0,0.0,0,0.0
56,1992,245,9,11,170.5,17.716666666666665,12.416666666666664,24.2,531.5,83.7,1.0266666666666666,125.39999999999999,183.33499999999998,3,2,1,1,0,0,0,0.0,0,0.0,23,439.3,9,200.3,1,25.1,0,0.0,0,0.0,0,0.0
57,1992,275,10,6,7.5,10.151612903225807,3.6225806451612903,18.609677419354842,219.4,78.7451612903226,1.2225806451612902,185.59999999999997,228.515,0,0,0,0,0,0,2,9.6,13,95.3,1,15.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
58,1992,306,11,3,11.7,3.1633333333333336,-3.8666666666666667,11.726666666666665,10.6,74.28999999999999,1.383333333333333,169.20000000000002,213.17700000000002,0,0,0,0,0,0,21,31.4,29,84.30000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
59,1992,336,12,10,38.7,-0.6645161290322579,-6.464516129032258,5.835483870967743,10.0,75.3935483870968,1.3516129032258064,138.5,196.202,2,0,0,0,0,0,28,-42.70000000000001,31,-20.599999999999994,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
60,1993,1,1,6,10.799999999999999,-3.8258064516129036,-9.52258064516129,2.912903225806451,0.0,77.45806451612906,1.267741935483871,146.00000000000003,202.141,0,0,0,0,0,0,31,-118.60000000000001,31,-118.60000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
61,1993,32,2,5,57.4,-0.725,-7.035714285714285,6.246428571428573,12.0,68.22142857142858,1.7214285714285718,187.49999999999997,216.637,2,0,0,0,0,0,26,-37.50000000000001,27,-32.300000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,1993,60,3,7,27.5,2.3580645161290326,-4.367741935483871,10.519354838709676,0.0,71.06774193548387,1.4000000000000006,197.1,235.34199999999998,0,0,0,0,0,0,27,48.6,31,73.10000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
63,1993,91,4,6,53.7,9.353333333333332,1.0866666666666667,17.580000000000002,175.9,61.49333333333333,1.7733333333333334,221.2,246.702,2,0,0,0,0,0,7,21.999999999999996,17,104.7,4,65.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
64,1993,121,5,8,150.5,14.970967741935485,7.687096774193549,23.287096774193547,444.70000000000005,74.97741935483872,1.2806451612903222,201.1,239.274,4,1,1,1,0,0,0,0.0,2,19.4,17,289.3,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
65,1993,152,6,13,147.0,19.77666666666666,14.916666666666666,25.776666666666674,593.2999999999998,84.12333333333336,1.1566666666666667,109.10000000000001,171.49200000000002,4,2,0,0,0,0,0,0.0,0,0.0,29,579.6999999999999,13,286.5,0,0.0,0,0.0,0,0.0,0,0.0
66,1993,182,7,12,265.5,20.822580645161295,16.212903225806457,25.97096774193549,645.5000000000001,85.07741935483872,1.164516129032258,100.39999999999999,168.334,5,4,2,1,1,0,0,0.0,0,0.0,31,645.5000000000001,20,436.5,0,0.0,0,0.0,0,0.0,0,0.0
67,1993,213,8,15,393.0,20.03870967741935,15.583870967741936,25.712903225806453,621.1999999999999,90.26451612903229,1.0838709677419354,97.89999999999999,169.69799999999998,6,4,2,1,1,1,0,0.0,0,0.0,31,621.1999999999999,13,284.59999999999997,0,0.0,0,0.0,0,0.0,0,0.0
68,1993,244,9,3,103.0,17.13666666666667,10.773333333333333,25.206666666666663,514.1000000000001,82.63333333333335,1.2033333333333331,167.9,212.34099999999998,1,1,1,1,1,0,0,0.0,0,0.0,24,435.79999999999995,3,61.2,0,0.0,0,0.0,0,0.0,0,0.0
69,1993,274,10,5,34.0,9.432258064516128,1.5612903225806452,18.764516129032256,206.0,79.96129032258065,1.3193548387096774,216.79999999999998,248.68699999999993,1,0,0,0,0,0,4,16.1,16,106.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
70,1993,305,11,11,54.699999999999996,6.39,1.0366666666666666,12.88,72.8,79.46333333333334,1.45,110.6,172.50799999999998,2,0,0,0,0,0,10,3.700000000000001,24,118.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
71,1993,335,12,5,13.700000000000001,-1.167741935483871,-7.374193548387097,5.919354838709677,0.0,75.63870967741936,1.6225806451612905,172.19999999999996,218.514,0,0,0,0,0,0,31,-36.2,31,-36.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
72,1994,1,1,5,16.9,-2.7774193548387096,-9.209677419354836,5.112903225806453,0.0,76.87741935483874,1.3387096774193548,173.79999999999998,219.724,1,0,0,0,0,0,31,-86.1,31,-86.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
73,1994,32,2,5,4.9,-0.9678571428571429,-8.335714285714287,7.299999999999999,0.0,72.73214285714286,1.617857142857143,178.9,211.61000000000004,0,0,0,0,0,0,28,-27.1,28,-27.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
74,1994,60,3,6,32.3,3.0451612903225804,-3.493548387096775,9.961290322580645,0.0,68.46129032258065,1.7516129032258065,203.89999999999995,240.90699999999998,1,0,0,0,0,0,24,47.1,31,94.39999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
75,1994,91,4,6,41.0,12.229999999999997,3.0966666666666667,21.456666666666667,314.09999999999997,63.839999999999996,1.47,196.79999999999998,231.30200000000002,1,0,0,0,0,0,2,9.100000000000001,7,52.8,3,48.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
76,1994,121,5,9,135.0,16.070967741935483,7.867741935483871,23.470967741935485,488.99999999999994,71.49677419354838,1.367741935483871,186.99999999999997,229.966,6,2,0,0,0,0,0,0.0,1,9.2,20,351.29999999999995,2,40.599999999999994,0,0.0,0,0.0,0,0.0,0,0.0
77,1994,152,6,7,301.0,20.06,12.9,27.576666666666668,601.8,73.54333333333332,1.3199999999999998,180.5,219.35799999999998,2,2,1,1,1,1,0,0.0,0,0.0,30,601.8,15,326.6,0,0.0,0,0.0,0,0.0,0,0.0
78,1994,182,7,6,83.0,26.519354838709678,20.725806451612907,33.403225806451616,822.1,82.86129032258067,1.1258064516129034,211.3,245.49800000000005,1,1,1,1,0,0,0,0.0,0,0.0,31,822.1,31,822.1,29,773.8000000000001,0,0.0,0,0.0,0,0.0
79,1994,213,8,11,241.0,25.212903225806453,19.741935483870968,31.703225806451616,781.6,83.99032258064517,1.0870967741935482,192.10000000000002,232.07499999999996,5,2,2,1,0,0,0,0.0,0,0.0,31,781.6,31,781.6,18,479.6,0,0.0,0,0.0,0,0.0
